question,answer
What is the fee to prolong forfait validity if the remaining internet volume is between 1.5GB and 3GB (exclusive)?,[1.5 Go et 3Go [ 1.5 DT
What is the fee to prolong forfait validity if the remaining internet volume is 3GB or more?,3Go et plus 3 DT
For how long will the validity be prolonged?,La validité sera prolongée de 7 jours à partir de la date d'expiration
When can a customer prolong their forfait validity?,Le client peut prolonger/acheter sa validité le jour J de l'expiration ou bien J-1
What USSD code is used to prolong mobile internet forfait validity?,La prolongation de validité est possible via le code *140*7*9#
What assistance is available for prolonging internet forfait validity?,Besoin d'aide ?
What does the 'Ehdia NET' service allow customers to do?,"Mobile Internet Mobile Avec le service Ehdia NET, vous pouvez non seulement acheter un forfait pour vos proches mais aussi demander un forfait en cas de besoin d’Internet, et ce, GRATUITEMENT !"
Which internet forfaits can be offered to another prepaid mobile or key line using Ehdia Net?,Ehdia Net vous permet d'activer un forfait internet pour une autre ligne prépayée mobile ou clé de Tunisie Telecom parmi les forfaits suivants: 220 Mo à 1 DT (24H) 650 Mo à 3 DT (7j) 1.5 Go à 6 DT (30j) 4 Go à 10 DT (30j) 10 Go à 25 DT (30j) 25 Go à 30 DT (30j)
Are internet forfaits offered via Ehdia Net automatically renewable?,Les forfaits offerts ne sont pas renouvelables automatiquement.
"Is there a charge for using the Ehdia Net service to offer a forfait, beyond the forfait's cost?","Ce service est gratuit, vous ne payez que le montant du forfait acheté."
What USSD code is used for the Ehdia Net service?,Ehdia Net est disponible sur *140*7#
How can the recipient of an Ehdia Net forfait track their internet consumption?,Le bénéficiaire du forfait peut suivre sa consommation internet avec le code *140*8#
"What are the 'HADRA Ehdia NET' options available (e.g., 10 min + 100 Mo)?",Les options HADRA Ehdia NET: 10 min+100 Mo à 0.8DT (1j) 3h30+300Mo à 3DT (3j) 5h50+500MO à 5dt (5j) 2H2min+200Mo à 1.9DT (2j) 7h7min+1Go à 8DT (7j) 10h10min + 4Go à 15DT (10j)
How can the recipient of a HADRA Ehdia NET option track their consumption?,Le bénéficiaire de l’option peut suivre sa consommation sur *122*26#
How can one request an internet forfait from friends or family using Ehdia NET?,DEMANDER UN FORFAIT INTERNET Vous pouvez également demander un forfait internet auprès de vos amis & proches via la commande *140*7# et ce GRATUITEMENT.
How is the correspondent notified when an Ehdia NET forfait request is made?,Un SMS sera reçu par votre correspondant pour qu'il vous offre un forfait Internet.
Under what condition can an Ehdia NET forfait request be sent?,Cette demande ne sera envoyée que si votre solde internet est inférieur à 50Mo.
Is there help available for the Ehdia NET service?,Besoin d'aide ?
What do 'Forfaits Internet Partagés' allow customers to do?,"Mobile Internet Mobile Avec les Forfaits Internet Partagés, vous pouvez acheter le forfait qui vous convient et le partager avec 4 numéros mobiles prépayés de votre choix"
"What are the new shared internet forfaits, their volumes, prices, and validity?",LES NOUVEAUX FORFAITS INTERNET PARTAGÉS Volume Prix ​Validité 1.5 Go 6 DT ​30 Jours 4 Go 10 DT ​30 Jours 6 Go 15 DT ​30 Jours ​25 Go ​30 DT ​30 Jours
"Is there a service charge for using shared internet forfaits, apart from the forfait cost?","Ce service est GRATUIT , vous ne payez que le montant du forfait acheté!"
Are shared internet forfaits automatically renewable?,Les forfaits partagés ne sont pas renouvelables automatiquement.
How can customers access and manage the shared internet forfait service?,COMMENT PROFITER DU SERVICE ? Les forfaits partagés sont disponibles sur *140*7*5# Vous devez activer le forfait de votre choix puis procéder à l'ajout des membres dans votre groupe!
What management options are available for shared internet forfait groups?,"Vous pouvez à tout moment consulter la liste de votre groupe, ajouter ou supprimer des membres."
Can the owner of a shared internet forfait track the consumption of each member?,Vous pouvez également suivre le forfait acheté ainsi que la consommation de chaque membre.
Are shared internet forfaits compatible with other internet offers?,"Les forfaits Internet partagés sont compatibles avec tout autre forfait internet, forfait Facebook ou options++."
What assistance is available for shared internet forfaits?,Besoin d'aide ?
What is 'Internet صبّة' and where is it available?,"Mobile Internet Mobile Internet صبّة est une nouvelle recharge électronique pour l'Internet à l'instar du service TTCASH, disponible dans tous les points de ventes qui commercialisent le TTCASH ainsi que dans les Espaces TT."
How can one purchase 'Internet صبّة'?,"COMMENT PROFITER DE L'INTERNET صبّة ? L’internet صبة est disponible via le portail TT & My TT, chez nos Espaces et nos revendeurs."
Is there a promotion for purchasing 'Internet صبّة' online?,Pour recharger en ligne cliquez ici et profitez de la promo 10%
What is the range of recharge amounts available for 'Internet صبّة'?,"QUELLES SONT LES RECHARGES DISPOINIBLES? Les recharges disponibles varient de 1 DT jusqu'à 60 DT, selon le besoin du Client."
How does 'Internet صبّة' recharge affect line validity?,La recharge Data accorde au Client une validité supplémentaire si la validité de la ligne est inférieure à celle de la recharge conformément au tableau ci dessous:
"What is the internet volume, forfait validity, and added line validity for a 1 DT 'Internet صبّة' recharge (0.9 DT with digital discount)?",Montant payé (DT) Montant payé via le Canal Digital avec 10% de remise(DT) ​ Volume Internet Mo Validité du forfait en jours Validité ajoutée à la ligne en jours 1 ​0.9 195 1 7
What details correspond to a 4 DT 'Internet صبّة' recharge (3.6 DT with digital discount)?,Montant payé (DT) Montant payé via le Canal Digital avec 10% de remise(DT) ​ Volume Internet Mo Validité du forfait en jours Validité ajoutée à la ligne en jours 4 ​3.6 780 30 30
What do you get with a 10 DT 'Internet صبّة' recharge (9 DT with digital discount)?,Montant payé (DT) Montant payé via le Canal Digital avec 10% de remise(DT) ​ Volume Internet Mo Validité du forfait en jours Validité ajoutée à la ligne en jours 10 ​9 3592 30 30
"Can you specify the internet volume, forfait validity, and line validity for a 25 DT 'Internet صبّة' recharge (22.5 DT with digital discount)?",Montant payé (DT) Montant payé via le Canal Digital avec 10% de remise(DT) ​ Volume Internet Mo Validité du forfait en jours Validité ajoutée à la ligne en jours 25 ​22.5 8980 30 30
What are the details for a 60 DT 'Internet صبّة' recharge (54 DT with digital discount)?,Montant payé (DT) Montant payé via le Canal Digital avec 10% de remise(DT) ​ Volume Internet Mo Validité du forfait en jours Validité ajoutée à la ligne en jours 60 54 48984 30 30
How can one track their 'Internet صبّة' recharge?,Le suivi de la recharge se fait via le code *122*10# ou sur MY TT.
Is help offered for the 'Internet صبّة' service?,Besoin d'aide ?
What is the 'Partage de la DATA' service and which USSD codes are used for it?,"PARTAGE DE LA DATA Description Avec le nouveau service « Partage de la DATA », découvrez une nouvelle gamme de forfaits accessible via les codes: *140# pour le Mobile et *145# pour la Clé"
How does the 'Partage de la DATA' service work for the 'Master' account holder?,Avantage Le « Master » peut partager son Forfait Internet Mobile avec 4 autres personnes appartenant à son groupe appelé « Membres » ayant des lignes Mobile et/ou Clé.
When can the group start using the shared data in 'Partage de la DATA' service?,"Une fois le forfait activé et les membres sont configurés, tout le groupe utilisera le forfait en même temps."
How can a Mobile Master or Member track their 'Partage de la DATA' forfait?,Suivi du forfait *140*22# : Pour un client Mobile Master ou Membre
How can a Clé Master or Member track their 'Partage de la DATA' forfait?,*145*22# : Pour un client Clé Master ou Membre
What is the 'Transfert de la DATA' service?,"TRANSFERT DE LA DATA Description Avec le service permet « Transfert de la DATA », transférez un volume data de votre forfait activé parmi la liste disponible sur le *140# pour le Mobile et *145# pour la Clé, vers une autre ligne (Mobile ou Clé)"
What is the cost and USSD code for transferring data using 'Transfert de la DATA'?,Avantage Le transfert de la DATA se fait via le code *240# moyennant 50 millimes par opération de transfert
"What are the minimum and maximum data transfer volumes for 'Transfert de la DATA', and in what increments?",Le volume min à transférer est 100 Mo et le max est 1 Go (Le volume DATA transféré est par palier de 1 Mo)
How long is the transferred data valid for the recipient in the 'Transfert de la DATA' service?,Le forfait transféré reste valable 24 heures
How many times per day can data be transferred using 'Transfert de la DATA'?,Le nombre de transferts est plafonné à 3 fois/jour
How can the recipient check the data volume received via 'Transfert de la DATA'?,Suivi du forfait Le client receveur peut consulter gratuitement le volume DATA reçu via *122*24#
Who is eligible for the 'Partage de la DATA' and 'Transfert de la DATA' services?,QUI PEUT EN PROFITER ? Ces services sont valables pour tous les clients Mobile et clé
How can a particular customer contact customer service for assistance?,Client Particulier: +216 71 00 1298
How can a business customer contact customer service for assistance?,Client Entreprise: +216 71 00 1288
Is help available for data sharing and transfer services?,Besoin d'aide ?
What USSD code is used to recharge a mobile line with a scratch card?,*123*code secret de la carte# Recharge de la ligne
What USSD code is used to check mobile balance and bonus?,*122# Consultation solde et bonus
Which USSD code is for tracking mobile internet forfait usage?,*122*2# Suivi du forfait internet mobile
How can one track the 'Internet صبّة' recharge?,​*122*10# ​Suivi de la recharge Internet صبّة
What is the USSD code for tracking MESSAGET forfait?,*122*9# Suivi forfait MESSAGET
How do you perform a 'MobiRacid' credit transfer?,"*133*Montant en millimes*N°GSMTT # MobiRacid, Transfert du montant"
What is the USSD code for managing the Kélma loyalty program?,*111# Gestion de mon programme de fidélité Kélma
How can a customer request their PUK code?,*153*3*numéro bloqué * numéro cin # Demande du code PUK
Which USSD code is used to activate Big internet forfaits?,*540# L'activation des Big forfaits internet
What USSD code activates regular internet forfaits?,*140# L'activation des forfaits internet
Which code is used for tracking internet forfaits?,*140*7*8# suivi des forfaits internet
What USSD code is used to transfer internet forfaits?,*140*7*6# transfert des forfaits internet
How can one prolong the validity of an internet forfait?,*140*7*9# prolongation de validité internet
What is the USSD code for tracking Roaming pass?,*235*8# Suivi pass Roaming
What USSD code is used for the 'Kallemni' service?,*124*N°GSM TT# Kallemni
Which USSD code provides a menu for managing useful services?,*100# Menu pour la gestion de tous les services utiles
How can a customer find their phone number and offer details?,*146# Votre numéro d'appel et offre
What USSD code checks the remaining 'Kallemni' SMS?,*124*1# SMS « Kallemni » restants
Which code is used to activate Double Call?,*43# Activation Double Appel
What is the USSD code for activating Mobile Internet?,*140*0# Activation Internet Mobile
How do you activate Missed Call notifications?,*62*1162# Activation Appels Manqués
What number is used to access Voicemail?,1700 Accés Messagerie Vocale
Which USSD code is for the MMS service?,*110# Service MMS
What USSD code accesses the WAP portal wap.ahaya.tn?,*120# Portail WAP: wap.ahaya.tn
How is Prepaid Roaming activated?,*117*1# Activation Roaming Prépayé
What is the USSD code for conference calls (which is free)?,*115# Appel en conférence (Gratuit)
Which USSD code is for the Mobidinar service (free)?,*104# Service Mobidinar (gratuit)
What is the USSD code for the Tabba3ni service?,*149# Service Tabba3ni
How do you activate SMS Joignabilité (reachability notifications)?,​*62*1700# ​SMS joignabilité
What is the USSD code for DATA Transfer?,​*240# ​Transfert de la DATA
Which USSD codes are used for DATA Sharing (for mobile and key)?,​*140# et *145# pour la clé ​Partage de la DATA
How do you get your RIO for portability?,​*172# ​RIO portabilité
What is the USSD code for the Mouzikti service?,​*208# ​Mouzikti
What is the USSD code for the DUO service?,​*180# DUO​
Which code is for TT Streaming?,​*209# TT streaming​
What USSD code is used for SOS Solde (credit advance)?,​*150# SOS Solde​
How do you use SMART Roaming?,​*147*le numéro de votre correspondant # ​SMART Roaming
What USSD code is for TT Press?,​*225# ​TT Press
What is the code for Ehdia NET?,*140*7# Ehdia NET
Which USSD code is for Roaming Pass?,*235# Pass Roaming
How do you gift a Roaming Pass (Ehdia Pass Roaming)?,*235*6# Ehdia Pass Roaming
What is the USSD code for general Roaming Service activation/management?,*117# Service Roaming
What is the number for the customer call center and what is its cost per call?,1298 Centre d'appel (50 mill/appel)
What is the number for the B2B call center?,1288 Centre d'appel B2B
